#ChowkidaarNahiJawabdarChahiye  #Lokpal  #GiftOfEducation  #MaharshiManiaIn50Days  #TCLWithDelhiCapitals BJP Centra… https://t.co/Y5gOw3LtRv,HelloDrawEasy,,"['ChowkidaarNahiJawabdarChahiye', 'Lokpal', 'GiftOfEducation', 'MaharshiManiaIn50Days', 'TCLWithDelhiCapitals']"
RT @MihirkJha: BJP+ is all set to cross 350. Just wait for campaign to go for full swing. #2019OpinionPoll https://t.co/Sa8fYUJdsE,tiru_2000,,['2019OpinionPoll']
"RT @iShalavbjp: Brother of Late Goa CM and ex-Defense Minister Manohar Parrikar, Suresh Parrikar, runs a humble kirana store near Arpora in…",fassbear,,[]
"RT @kala08_praveen: @TimesNow This shameless JDS chap Abdul Razzak is a complete Jerk. What crap . . . omg! 
He talks about Vote share of B…",kala08_praveen,,[]
"RT @waglenikhil: 15 BJP ministers, MLAs in Arunachal join NPP | India News - Times of India https://t.co/8jdIqsxbDm",SurojitSarmah,india,[]
"It was just yesterday I diarized quoting the old man here, a die hard BJP Fanatics directing abuse at me, 

""Tohare… https://t.co/Ytd2GGkuRt",HarassedbyGOI,India,[]
RT @INCIndia: BJP leaders want to implement Citizenship Amendment Bill. This is a method to weaken the NE states. We have decided to not le…,tusharpati_,,[]
RT @INCIndia: BJP leaders want to implement Citizenship Amendment Bill. This is a method to weaken the NE states. We have decided to not le…,Yashwan58836140,,[]
"RT @PplOfIndia: Not giving a ticket to @surendranbjp would be an injustice.  Anyhow, he would be amply rewarded by @narendramodi @BJP4India…",PplOfIndia,Follows you,[]
RT @ShefVaidya: ALL @BJP4India CMs are younger than @RahulGandhi the 50 year old ‘youth icon’ turned ‘most eligible bachelor’ who ‘comes of…,pratiksinghi,Mumbai,[]
"RT @nalinkateel: Varanasi Loksabha seat against PM Modi AAP gives it to congress, Congress gives it to SP, SP gives it to BSP, BSP candidat…",Pratush_kak,,[]
RT @Swamy39: BJP leaders must stop saying publicly that India’s GDP sixth largest in the world. If they do not I will call them illiterates…,SriPa9,India,[]
"RT @DrGPradhan: INPUT @AmitShah 

Darjeeling booth level data of BJP has been leaked to TMC

Money has changed hands

@BJP4Bengal",sanskriti46,,[]
RT @INCIndia: This young woman entrepreneur has a few words on the misbehaviour of the BJP Karyakartha’s. Listen in: https://t.co/kPuhVFGrWD,akaursidhu,"Chandigarh, India",[]
"RT @SuryahSG: Frnds, inspired by @muglikar_'s 1 mint videos; I'm making 2 mints videos in Tamil narrating 50 achievements of PM @NarendraMo…",LavaKm,,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",DrKpRajak1, Jabalpur Mp india,[]
RT @ShrrinG: So no Vishnu Dev Sai..No Ramesh Bais .. No Saroj Pandey either?? https://t.co/gRqiOhy8S8,ksmsundaram1975,"Mumbai, India",[]
"RT @Tejasvi_Surya: CMs picked by BJP

Devendra Fadnavis: 48 years old
Bilpab Deb: 47 yo
Yogi Adityanath: 46 yo
P Sawant: 45 yo
P Khandu: 39…",RakeshSundriyal,"New Delhi, India",[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",kapilbhargava3,,[]
RT @CongressDahan: Special Status like in J&amp;K you idiots gave under Nehru? It does not merge them in mainstream it creates separatist movem…,JayeBharat,,[]
"RT @yusufiosys: Whatever they do?
BJP will be selling PAKODA'S for next 50 years FROM THEIR MASSIVE HEADQUARTERS, thanks to Modi unpreceden…",Badansi59019507,"Uttar Pradesh, India",[]
RT @SATAVRAJEEV: I am shocked to hear about the brutal killing of Journalist Chirag Patel.This incident is another reminder of bad law &amp; or…,GauravMate07,"Nagpur, India",[]
RT @ShahnawazBJP: Today is the second meeting of BJP Central Election Committee to decide candidates for Lok Sabha Elections. As a member o…,ShivTiw97943429,"Kanpur, India",[]
